"Symbol","Sector","price
                        % Chng","price
                        Chng","Index
                        % Chng

                    ","Index
                        Chng"
"INFY","Information Technology","0.51%","8.2","0.03","6.52"
"MARUTI","Automobile and Auto Components","1.03%","130","0.01","3.76"
"APOLLOHOSP","Healthcare","1.67%","124","0.01","2.76"
"DRREDDY","Healthcare","1.61%","20.5","0.01","2.75"
"ONGC","Oil Gas & Consumable Fuels","1.24%","2.98","0.01","2.55"
"HEROMOTOCO","Automobile and Auto Components","1.58%","66.9","0.01","1.92"
"HDFCBANK","Financial Services","0.06%","1.1","0.01","1.85"
"M&M","Automobile and Auto Components","0.29%","9.2","0.01","1.79"
"ETERNAL","Consumer Services","0.42%","1.1","0.01","1.69"
"CIPLA","Healthcare","0.74%","11.1","0.01","1.38"
"HINDUNILVR","Fast Moving Consumer Goods","0.27%","6.3","0.00","1.23"
"ASIANPAINT","Consumer Durables","0.48%","11.5","0.00","1.15"
"NTPC","Power","0.25%","0.85","0.00","0.89"
"TATAMOTORS","Automobile and Auto Components","0.27%","1.85","0.00","0.85"
"ITC","Fast Moving Consumer Goods","0.1%","0.4","0.00","0.82"
"INDUSINDBK","Financial Services","0.55%","4.75","0.00","0.69"
"BAJAJ-AUTO","Automobile and Auto Components","0.31%","26","0.00","0.64"
"SUNPHARMA","Healthcare","0.13%","2.2","0.00","0.52"
"TATASTEEL","Metals & Mining","0.02%","0.03","0.00","0.05"
"NESTLEIND","Fast Moving Consumer Goods","0.02%","0.4","0.00","0.03"
"WIPRO","Information Technology","0.02%","0.05","0.00","0.03"
"EICHERMOT","Automobile and Auto Components","-0.11%","-6.5","0.00","-0.2"
"COALINDIA","Oil Gas & Consumable Fuels","-0.12%","-0.45","0.00","-0.23"
"SHRIRAMFIN","Financial Services","-0.22%","-1.5","0.00","-0.46"
"BEL","Capital Goods","-0.16%","-0.7","0.00","-0.55"
"TECHM","Information Technology","-0.31%","-5.2","0.00","-0.73"
"HDFCLIFE","Financial Services","-0.49%","-3.85","0.00","-0.91"
"TATACONSUM","Fast Moving Consumer Goods","-0.58%","-6.4","0.00","-0.92"
"ULTRACEMCO","Construction Materials","-0.31%","-38","0.00","-1"
"ADANIENT","Metals & Mining","-0.72%","-19","0.00","-1.09"
"POWERGRID","Power","-0.39%","-1.15","0.00","-1.15"
"JIOFIN","Financial Services","-0.51%","-1.65","0.00","-1.19"
"RELIANCE","Oil Gas & Consumable Fuels","-0.07%","-1","-0.01","-1.49"
"TRENT","Consumer Services","-0.51%","-31.5","-0.01","-1.54"
"HCLTECH","Information Technology","-0.39%","-6.7","-0.01","-1.57"
"HINDALCO","Metals & Mining","-0.79%","-5.5","-0.01","-1.76"
"ADANIPORTS","Services","-0.89%","-12.8","-0.01","-2.08"
"AXISBANK","Financial Services","-0.36%","-4.2","-0.01","-2.65"
"TITAN","Consumer Durables","-0.79%","-29.3","-0.01","-2.67"
"GRASIM","Construction Materials","-1.13%","-32.2","-0.01","-2.71"
"JSWSTEEL","Metals & Mining","-1.3%","-13.8","-0.01","-2.89"
"ICICIBANK","Financial Services","-0.13%","-1.9","-0.01","-2.99"
"BAJAJFINSV","Financial Services","-1.35%","-27.2","-0.01","-3.26"
"LT","Construction","-0.39%","-13.9","-0.01","-3.6"
"SBILIFE","Financial Services","-2.51%","-46.6","-0.02","-4.61"
"SBIN","Financial Services","-0.71%","-5.8","-0.02","-4.92"
"TCS","Information Technology","-0.66%","-22.5","-0.02","-5.07"
"BAJFINANCE","Financial Services","-1.39%","-12.85","-0.03","-7.53"
"BHARTIARTL","Telecommunication","-0.69%","-14","-0.03","-8.42"
"KOTAKBANK","Financial Services","-1.96%","-42.5","-0.05","-13.79"
