Company Name,Symbol,SERIES
20 Microns Limited,20MICRONS,EQ
21st Century Management Services Limited,21STCENMGM,EQ
360 ONE WAM LIMITED,360ONE,EQ
3B Blackbio Dx Limited,3BBLACKBIO,EQ
3i Infotech Limited,3IINFOLTD,EQ
3M India Limited,3MINDIA,EQ
3P Land Holdings Limited,3PLAND,EQ
5Paisa Capital Limited,5PAISA,EQ
63 moons technologies limited,63MOONS,EQ
A2Z Infra Engineering Limited,A2ZINFRA,BE
AAA Technologies Limited,AAATECH,EQ
Aadhar Housing Finance Limited,AADHARHFC,EQ
Aakash Exploration Services Limited,AAKASH,BE
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,BE
Aarnav Fashions Limited,AARNAV,EQ
Aaron Industries Limited,AARON,EQ
Aartech Solonics Limited,AARTECH,EQ
Aarti Drugs Limited,AARTIDRUGS,EQ
Aarti Industries Limited,AARTIIND,EQ
Aarti Pharmalabs Limited,AARTIPHARM,EQ
Aarti Surfactants Limited,AARTISURF,EQ
Aarvi Encon Limited,AARVI,EQ
Aavas Financiers Limited,AAVAS,EQ
Aban Offshore Limited,ABAN,BE
Abans Enterprises Limited,ABANSENT,EQ
ABB India Limited,ABB,EQ
Abbott India Limited,ABBOTINDIA,EQ
Aditya Birla Capital Limited,ABCAPITAL,EQ
A B Cotspin India Limited,ABCOTS,EQ
Allied Blenders and Distillers Limited,ABDL,EQ
Aditya Birla Fashion and Retail Limited,ABFRL,EQ
A B Infrabuild Limited,ABINFRA,EQ
Aditya Birla Lifestyle Brands Limited,ABLBL,EQ
ABM International Limited,ABMINTLLTD,BE
ABM Knowledgeware Limited,ABMKNO,EQ
Aditya Birla Real Estate Limited,ABREL,EQ
Aditya Birla Sun Life AMC Limited,ABSLAMC,EQ
ACC Limited,ACC,EQ
Accelya Solutions India Limited,ACCELYA,EQ
Accuracy Shipping Limited,ACCURACY,BE
Action Construction Equipment Limited,ACE,EQ
Ace Integrated Solutions Limited,ACEINTEG,EQ
Archean Chemical Industries Limited,ACI,EQ
Andhra Cements Limited,ACL,EQ
Acme Solar Holdings Limited,ACMESOLAR,EQ
ACS Technologies Limited,ACSTECH,EQ
Acutaas Chemicals Limited,ACUTAAS,EQ
Adani Energy Solutions Limited,ADANIENSOL,EQ
Adani Enterprises Limited,ADANIENT,EQ
Adani Green Energy Limited,ADANIGREEN,EQ
Adani Ports and Special Economic Zone Limited,ADANIPORTS,EQ
Adani Power Limited,ADANIPOWER,EQ
ADF Foods Limited,ADFFOODS,EQ
Archidply Decor Limited,ADL,EQ
Ador Welding Limited,ADOR,EQ
Adroit Infotech Limited,ADROITINFO,EQ
Allied Digital Services Limited,ADSL,EQ
Advait Energy Transitions Limited,ADVAIT,EQ
Advance Agrolife Limited,ADVANCE,EQ
