Symbol,Yahoo_Ticker,Big Sectors,Industry
20MICRONS,20MICRONS.NS,Commodities,Minerals & Mining
21STCENMGM,21STCENMGM.NS,Services,Capital Markets
360ONE,360ONE.NS,Services,Asset Management
3IINFOLTD,3IINFOLTD.NS,Information Technology,IT - Services
3MINDIA,3MINDIA.NS,Industrials,Industrial Products
3PLAND,3PLAND.NS,,
5PAISA,5PAISA.NS,Services,Capital Markets
63MOONS,63MOONS.NS,Information Technology,IT - Software
A2ZINFRA,A2ZINFRA.NS,Industrials,Construction
AAATECH,AAATECH.NS,Information Technology,IT - Services
AADHARHFC,AADHARHFC.NS,Services,Mortgage Finance
AAKASH,AAKASH.NS,Energy,Oil
AAREYDRUGS,AAREYDRUGS.NS,Healthcare,Pharmaceuticals & Biotechnology
AARON,AARON.NS,Industrials,Industrial Manufacturing
AARTECH,AARTECH.NS,Industrials,Electrical Equipment
AARTIDRUGS,AARTIDRUGS.NS,Healthcare,Pharmaceuticals & Biotechnology
AARTIIND,AARTIIND.NS,Commodities,Fertilizers & Agrochemicals
AARTIPHARM,AARTIPHARM.NS,Healthcare,Pharmaceuticals & Biotechnology
AARTISURF,AARTISURF.NS,Commodities,Fertilizers & Agrochemicals
AARVEEDEN,AARVEEDEN.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
AARVI,AARVI.NS,Industrials,Industrial Products
AAVAS,AAVAS.NS,Services,Mortgage Finance
ABAN,ABAN.NS,Energy,Oil
ABB,ABB.NS,Industrials,Industrial Manufacturing
ABBOTINDIA,ABBOTINDIA.NS,Healthcare,Pharmaceuticals & Biotechnology
ABCAPITAL,ABCAPITAL.NS,Services,Financial Conglomerates
ABDL,ABDL.NS,Fast Moving consumer goods,Beverages
ABFRL,ABFRL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
ABINFRA,ABINFRA.NS,Industrials,Construction
ABLBL,ABLBL.NS,,
ABMINTLLTD,ABMINTLLTD.NS,Commodities,Fertilizers & Agrochemicals
ABREL,ABREL.NS,Commodities,"Paper, Forest & Jute Products"
ABSLAMC,ABSLAMC.NS,Services,Asset Management
ACC,ACC.NS,Commodities,Other Construction Materials
ACCELYA,ACCELYA.NS,Information Technology,IT - Services
ACCURACY,ACCURACY.NS,Industrials,Industrial Products
ACE,ACE.NS,Industrials,"Agricultural, Commercial & Construction Vehicles"
ACEINTEG,ACEINTEG.NS,Industrials,Industrial Products
ACI,ACI.NS,Commodities,Chemicals & Petrochemicals
ACL,ACL.NS,Commodities,Other Construction Materials
ACLGATI,ACLGATI.NS,Industrials,Industrial Products
ACMESOLAR,ACMESOLAR.NS,Utilities,Utilities
ACUTAAS,ACUTAAS.NS,Commodities,Fertilizers & Agrochemicals
ADANIENSOL,ADANIENSOL.NS,Utilities,Utilities
ADANIENT,ADANIENT.NS,Energy,Consumable Fuels
ADANIGREEN,ADANIGREEN.NS,Utilities,Utilities
ADANIPORTS,ADANIPORTS.NS,Industrials,Industrial Products
ADANIPOWER,ADANIPOWER.NS,Utilities,Utilities
ADFFOODS,ADFFOODS.NS,Fast Moving consumer goods,Food Products
ADL,ADL.NS,Consumer Discretionary,Consumer Durables
ADOR,ADOR.NS,Industrials,Industrial Manufacturing
ADROITINFO,ADROITINFO.NS,Information Technology,IT - Services
ADSL,ADSL.NS,Information Technology,IT - Services
ADVANIHOTR,ADVANIHOTR.NS,Consumer Discretionary,Leisure Services
ADVENZYMES,ADVENZYMES.NS,Commodities,Fertilizers & Agrochemicals
AEGISLOG,AEGISLOG.NS,Energy,Petroleum Products
AEGISVOPAK,AEGISVOPAK.NS,Energy,Oil
AEROFLEX,AEROFLEX.NS,Industrials,Industrial Manufacturing
