Company Name,Symbol, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20 Microns Limited,20MICRONS,EQ,06-OCT-2008,5,1,INE144J01027,5
21st Century Management Services Limited,21STCENMGM,EQ,03-MAY-1995,10,1,INE253B01015,10
360 ONE WAM LIMITED,360ONE,EQ,19-SEP-2019,1,1,INE466L01038,1
3i Infotech Limited,3IINFOLTD,EQ,22-OCT-2021,10,1,INE748C01038,10
3M India Limited,3MINDIA,EQ,13-AUG-2004,10,1,INE470A01017,10
3P Land Holdings Limited,3PLAND,EQ,19-JUL-1995,2,1,INE105C01023,2
5Paisa Capital Limited,5PAISA,EQ,16-NOV-2017,10,1,INE618L01018,10
63 moons technologies limited,63MOONS,EQ,20-JUN-2005,2,1,INE111B01023,2
A2Z Infra Engineering Limited,A2ZINFRA,BE,23-DEC-2010,10,1,INE619I01012,10
AAA Technologies Limited,AAATECH,EQ,28-NOV-2022,10,1,INE0D0U01013,10
Aadhar Housing Finance Limited,AADHARHFC,EQ,15-MAY-2024,10,1,INE883F01010,10
Aakash Exploration Services Limited,AAKASH,EQ,29-SEP-2020,1,1,INE087Z01024,1
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,BE,06-AUG-2021,10,1,INE198H01019,10
Aaron Industries Limited,AARON,EQ,06-NOV-2020,10,1,INE721Z01010,10
Aartech Solonics Limited,AARTECH,EQ,10-JUL-2023,5,1,INE01C001026,5
Aarti Drugs Limited,AARTIDRUGS,EQ,19-SEP-2003,10,1,INE767A01016,10
Aarti Industries Limited,AARTIIND,EQ,08-FEB-1995,5,1,INE769A01020,5
Aarti Pharmalabs Limited,AARTIPHARM,EQ,30-JAN-2023,5,1,INE0LRU01027,5
Aarti Surfactants Limited,AARTISURF,BE,14-JUL-2020,10,1,INE09EO01013,10
Aarvee Denims & Exports Limited,AARVEEDEN,BE,21-NOV-2006,10,1,INE273D01019,10
Aarvi Encon Limited,AARVI,EQ,24-JUN-2020,10,1,INE754X01016,10
Aavas Financiers Limited,AAVAS,EQ,08-OCT-2018,10,1,INE216P01012,10
Aban Offshore Limited,ABAN,EQ,29-MAR-1995,2,1,INE421A01028,2
ABB India Limited,ABB,EQ,08-FEB-1995,2,1,INE117A01022,2
Abbott India Limited,ABBOTINDIA,EQ,08-JAN-2010,10,1,INE358A01014,10
Aditya Birla Capital Limited,ABCAPITAL,EQ,01-SEP-2017,10,1,INE674K01013,10
Allied Blenders and Distillers Limited,ABDL,EQ,02-JUL-2024,2,1,INE552Z01027,2
Aditya Birla Fashion and Retail Limited,ABFRL,EQ,17-JUL-2013,10,1,INE647O01011,10
A B Infrabuild Limited,ABINFRA,BE,08-NOV-2024,10,1,INE00YB01017,10
Aditya Birla Lifestyle Brands Limited,ABLBL,EQ,23-JUN-2025,10,1,INE14LE01019,10
ABM International Limited,ABMINTLLTD,EQ,09-SEP-2021,10,1,INE251C01025,10
Aditya Birla Real Estate Limited,ABREL,EQ,27-JUN-2003,10,1,INE055A01016,10
Aditya Birla Sun Life AMC Limited,ABSLAMC,EQ,11-OCT-2021,5,1,INE404A01024,5
ACC Limited,ACC,EQ,20-NOV-1996,10,1,INE012A01025,10
Accelya Solutions India Limited,ACCELYA,EQ,01-DEC-1999,10,1,INE793A01012,10
Accuracy Shipping Limited,ACCURACY,EQ,11-DEC-2020,1,1,INE648Z01023,1
Action Construction Equipment Limited,ACE,EQ,26-SEP-2006,2,1,INE731H01025,2
Ace Integrated Solutions Limited,ACEINTEG,EQ,04-NOV-2022,10,1,INE543V01017,10
Archean Chemical Industries Limited,ACI,EQ,21-NOV-2022,2,1,INE128X01021,2
Andhra Cements Limited,ACL,EQ,10-MAY-2023,10,1,INE666E01020,10
Allcargo Gati Limited,ACLGATI,EQ,10-OCT-2006,2,1,INE152B01027,2
Acme Solar Holdings Limited,ACMESOLAR,EQ,13-NOV-2024,2,1,INE622W01025,2
Acutaas Chemicals Limited,ACUTAAS,EQ,14-SEP-2021,5,1,INE00FF01025,5
Adani Energy Solutions Limited,ADANIENSOL,EQ,31-JUL-2015,10,1,INE931S01010,10
Adani Enterprises Limited,ADANIENT,EQ,04-JUN-1997,1,1,INE423A01024,1
Adani Green Energy Limited,ADANIGREEN,EQ,18-JUN-2018,10,1,INE364U01010,10
Adani Ports and Special Economic Zone Limited,ADANIPORTS,EQ,27-NOV-2007,2,1,INE742F01042,2
Adani Power Limited,ADANIPOWER,EQ,20-AUG-2009,10,1,INE814H01011,10
ADF Foods Limited,ADFFOODS,EQ,15-SEP-2010,2,1,INE982B01027,2
Archidply Decor Limited,ADL,BE,01-OCT-2020,10,1,INE0CHO01012,10
Ador Welding Limited,ADOR,EQ,10-MAY-1995,10,1,INE045A01017,10
Adroit Infotech Limited,ADROITINFO,EQ,13-AUG-1997,10,1,INE737B01033,10
Allied Digital Services Limited,ADSL,EQ,25-JUL-2007,5,1,INE102I01027,5
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,EQ,25-JUN-2007,2,1,INE199C01026,2
Advanced Enzyme Technologies Limited,ADVENZYMES,EQ,01-AUG-2016,2,1,INE837H01020,2
Aegis Logistics Limited,AEGISLOG,EQ,03-APR-1996,1,1,INE208C01025,1
Aegis Vopak Terminals Limited,AEGISVOPAK,EQ,02-JUN-2025,10,1,INE0INX01018,10
Aeroflex Industries Limited,AEROFLEX,EQ,31-AUG-2023,2,1,INE024001021,2
Aether Industries Limited,AETHER,EQ,03-JUN-2022,10,1,INE0BWX01014,10
Afcons Infrastructure Limited,AFCONS,EQ,04-NOV-2024,10,1,INE101I01011,10
Affle 3i Limited,AFFLE,EQ,08-AUG-2019,2,1,INE00WC01027,2
Affordable Robotic & Automation Limited,AFFORDABLE,EQ,23-OCT-2024,10,1,INE692Z01013,10
